,Rank,Vehicle,Driver,Time,PS / KG
199,200.0,Alfa Romeo Stelvio QV,Christophe Tinseau,1:57.55,510 / 1919
200,201.0,Maserati GranTurismo S,Sébastien Bourdais,1:57.77,439 / 1880
201,202.0,Porsche Panamera GTS,Christophe Tinseau,1:57.80,440 / 1929
202,203.0,Mercedes-Benz C 63 AMG S,unknown,1:57.92,510 / 1749
203,204.0,BMW M5 (F10),Christophe Tinseau,1:58.12,560 / 1870
204,205.0,Chevrolet Camaro SS,Christophe Tinseau,1:58.27,432 / 1777
205,206.0,Jaguar F-Type V6 S,Christophe Tinseau,1:58.45,380 / 1678
206,207.0,BMW 1 Series M Coupe,Christophe Tinseau,1:58.89,340 / 1515
207,208.0,Renault Megane RS (MK IV),Christophe Tinseau,1:58.91,280 / 1477
208,209.0,Caterham 7 CSR 175,Sébastien Bourdais,1:59.10,175 / 590
209,210.0,Lotus Elise S,Christophe Tinseau,1:59.18,217 / 931
210,211.0,Ford Mustang GT (Mk VI 426 PS),unknown,1:59.41,426 / 1650
211,212.0,Jaguar XKR (510 PS),Sébastien Bourdais,1:59.56,510 / 1863
212,213.0,Lexus IS-F,Christophe Tinseau,1:59.82,423 / 1715
213,214.0,Ford Focus RS,Christophe Tinseau,1:59.86,350 / 1548
214,215.0,Honda Civic Type R (FK2),Christophe Tinseau,2:00.83,310 / 1401
215,216.0,Ford Focus ST (Mk IV),Christophe Tinseau,2:00.85,280 / 1455
216,217.0,Lotus Evora,unknown,2:01.02,280 / 1402
217,218.0,Nissan 370Z Nismo,Christophe Tinseau,2:01.30,344 / 1550
218,219.0,Mitsubishi Lancer Evo X,Christophe Tinseau,2:01.41,295 / 1573
219,220.0,BMW M235i,unknown,2:02.04,326 / 1499
220,221.0,Renault Megane RS 265 Trophy,unknown,2:02.23,265 / 1409
221,222.0,Subaru Impreza WRX STI tS,unknown,2:02.28,308 / 1529
222,223.0,Mercedes-Benz CLA 45 AMG,unknown,2:02.78,360 / 1395
223,224.0,Bentley Continental GT (Mk II),unknown,2:02.89,575 / 2344
224,225.0,Lotus Elise 1.6,Christophe Tinseau,2:05.87,136 / 897
225,226.0,Renault Clio RS 200 EDC,unknown,2:05.97,200 / -
226,227.0,Nissan GT-R Nismo (R35),Christophe Tinseau,2:06.37 w,600 / 1746
227,228.0,Subaru BRZ,unknown,2:06.80,200 / 1251
228,229.0,C63 AMG Coupe Performance Pac..,Steve Stanton,2:07.00,487 / 1783
229,230.0,Abarth 124 Spider,unknown,2:07.25,170 / 1136
230,231.0,Ford Fiesta ST,unknown,2:08.18,180 / 1225
231,232.0,Alpine A110 S (Mk II),Christophe Tinseau,2:09.94,292 / 1137
232,233.0,Mazda MX-5 Grand Touring,Christophe Tinseau,2:10.69,160 / 1159
